4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000B6 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000B7 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000B8 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000B9 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000BA (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000BB (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000BC (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000BD (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000BE (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000BF (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000C0 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000C2 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000C3 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000C4 (SulfurousAsh)
4/27/2014 3:03:41 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') duped 0x40000021 (SulfurousAsh) creating 0x400000C5 (SulfurousAsh)
4/27/2014 3:03:54 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'setallskills 0'
4/27/2014 3:03:55 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') set property 'EverySkill.Base' of 0x1 "Test" ('admin') to '0'
4/27/2014 3:04:03 PM: 127.0.0.1: Administrator 0x1 "Test" ('admin') used command 'heal '
